
SWEPT_VAR_1 = 75.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
475.6   	-81.41  
476     	-81.43  
476.4   	-81.44  
476.8   	-81.46  
477.2   	-81.47  
477.6   	-81.48  
478     	-81.48  
478.4   	-81.47  
478.8   	-81.45  
479.2   	-81.44  
479.6   	-81.43  
480     	-81.42  
480.4   	-81.41  
480.8   	-81.41  
481.2   	-81.4   
481.6   	-81.41  
482     	-81.41  
482.4   	-81.4   
482.8   	-81.4   
483.2   	-81.4   
483.6   	-81.39  
484     	-81.37  
484.4   	-81.35  
484.8   	-81.32  
485.2   	-81.29  
485.6   	-81.24  
486     	-81.17  
486.4   	-81     
486.8   	-80.51  
487.2   	-79.2   
487.6   	-74.43  
488     	-56.07  
488.4   	25.25   
488.8   	41.88   
489.2   	28.56   
489.6   	11.16   
490     	-6.626  
490.4   	-24.66  
490.8   	-43.43  
491.2   	-58.81  
491.6   	-68.19  
492     	-73.43  
492.4   	-76.36  
492.8   	-78.04  
493.2   	-79.06  
493.6   	-79.69  
494     	-80.1   
494.4   	-80.37  
494.8   	-80.56  
495.2   	-80.69  
495.6   	-80.78  
496     	-80.84  
496.4   	-80.88  
496.8   	-80.89  
497.2   	-80.9   
497.6   	-80.89  
498     	-80.88  
498.4   	-80.86  
498.8   	-80.84  
499.2   	-80.82  
499.6   	-80.8   
500     	-80.77  
500.4   	-80.75  
500.8   	-80.73  
501.2   	-80.7   
501.6   	-80.67  
502     	-80.64  
502.4   	-80.61  
502.8   	-80.57  
503.2   	-80.54  
503.6   	-80.5   
504     	-80.38  
504.4   	-79.99  
504.8   	-78.9   
505.2   	-74.91  
505.6   	-59.12  
506     	12.2    
506.4   	42.71   
506.8   	30.23   
507.2   	13.02   
507.6   	-4.835  
508     	-22.78  
508.4   	-41.67  
508.8   	-57.63  
509.2   	-67.54  
